Date,Flow,Level
01/01/1889,0,0
02/01/1889,2034.093,1.81
03/01/1889,11343.162,6.945
04/01/1889,10694.535,6.735
05/01/1889,4776.881,4.549
06/01/1889,2384.652,3.051
07/01/1889,1467.804,2.366
08/01/1889,945.584,1.92
09/01/1889,678.128,1.628
10/01/1889,417.201,1.288
11/01/1889,352.211,1.186
12/01/1889,319.107,1.126
13/01/1889,283.527,1.057
14/01/1889,253.731,0.999
15/01/1889,217.46,0.924
16/01/1889,180.974,0.844
17/01/1889,141.362,0.756
18/01/1889,103.476,0.671
19/01/1889,71.274,0.594
20/01/1889,41.263,0.523
21/01/1889,20.745,0.472
22/01/1889,13.673,0.421
23/01/1889,10.67,0.374
24/01/1889,8.688,0.335
25/01/1889,7.015,0.297
26/01/1889,5.838,0.265
27/01/1889,5.253,0.248
28/01/1889,4.383,0.221
29/01/1889,3.335,0.183
30/01/1889,2.528,0.147
31/01/1889,1.999,0.122
01/02/1889,1.575,0.099
02/02/1889,1.342,0.086
03/02/1889,1.169,0.077
04/02/1889,1.16,0.076
05/02/1889,1.16,0.076
06/02/1889,1.931,0.114
07/02/1889,57.663,0.42
08/02/1889,233.883,0.957
09/02/1889,197.47,0.88
10/02/1889,132.775,0.737
11/02/1889,79.56,0.615
12/02/1889,39.588,0.518
13/02/1889,15.846,0.441
14/02/1889,10.275,0.365
15/02/1889,6.753,0.289
16/02/1889,4.737,0.232
17/02/1889,4.534,0.226
18/02/1889,4.162,0.213
19/02/1889,3.877,0.204
20/02/1889,3.775,0.2
21/02/1889,3.447,0.188
22/02/1889,3.201,0.179
23/02/1889,3.189,0.178
24/02/1889,3.117,0.175
25/02/1889,2.845,0.162
26/02/1889,2.636,0.153
27/02/1889,2.56,0.149
28/02/1889,2.314,0.137
01/03/1889,2.049,0.124
02/03/1889,1.8,0.111
03/03/1889,1.564,0.099
04/03/1889,1.342,0.086
05/03/1889,1.169,0.077
06/03/1889,1.103,0.073
07/03/1889,0.898,0.061
08/03/1889,0.712,0.048
09/03/1889,0.521,0.035
10/03/1889,0.333,0.023
11/03/1889,0.199,0.014
12/03/1889,0.192,0.013
13/03/1889,0.144,0.01
14/03/1889,0.008,0.001
15/03/1889,0,0
16/03/1889,0,0
17/03/1889,0,0
18/03/1889,0,0
19/03/1889,0,0
20/03/1889,0,0
21/03/1889,0,0
22/03/1889,0,0
23/03/1889,0,0
24/03/1889,0,0
25/03/1889,0,0
26/03/1889,0,0
27/03/1889,0,0
28/03/1889,0,0
29/03/1889,0,0
30/03/1889,0,0
31/03/1889,0,0
01/04/1889,0,0
02/04/1889,0,0
03/04/1889,0,0
04/04/1889,0,0
05/04/1889,0,0
06/04/1889,0,0
07/04/1889,0.281,0.019
