Date,A1,A2,A3,A4,A5,A6,A7,A8
1968-04-10,NA,NA,NA,NA,NA,20.4995098,20.4995098,NA
1968-04-11,NA,NA,NA,NA,NA,20.49852941,20.49852941,NA
1968-04-12,NA,NA,NA,NA,NA,20.49754902,20.49754902,NA
1968-04-13,NA,NA,NA,NA,NA,20.49656863,20.49656863,NA
1968-04-14,NA,NA,NA,NA,NA,20.49558824,20.49558824,NA
1968-04-15,NA,NA,NA,NA,NA,20.49460784,20.49460784,NA
1968-04-16,NA,NA,NA,NA,NA,20.49362745,20.49362745,NA
1968-04-17,NA,NA,NA,NA,NA,20.49264706,20.49264706,NA
1968-04-18,NA,NA,NA,NA,NA,20.49166667,20.49166667,NA
1968-04-19,NA,NA,NA,NA,NA,20.49068627,20.49068627,NA
1968-04-20,NA,NA,NA,NA,NA,20.48970588,20.48970588,NA
1968-04-21,NA,NA,NA,NA,NA,20.48872549,20.48872549,NA
1968-04-22,NA,NA,NA,NA,NA,20.4877451,20.4877451,NA
1968-04-23,NA,NA,NA,NA,NA,20.48676471,20.48676471,NA
1968-04-24,NA,NA,NA,NA,NA,20.48578431,20.48578431,NA
1968-04-25,NA,NA,NA,NA,NA,20.48480392,20.48480392,NA
1968-04-26,NA,NA,NA,NA,NA,20.48382353,20.48382353,NA
1968-04-27,NA,NA,NA,NA,NA,20.48284314,20.48284314,NA
1968-04-28,NA,NA,NA,NA,NA,20.48186275,20.48186275,NA
1968-04-29,NA,NA,NA,NA,NA,20.48088235,20.48088235,NA
1968-04-30,NA,NA,NA,NA,NA,20.47990196,20.47990196,NA
1968-05-01,NA,NA,NA,NA,NA,20.47892157,20.47892157,NA
1968-05-02,NA,NA,NA,NA,NA,20.47794118,20.47794118,NA
1968-05-03,NA,NA,NA,NA,NA,20.47696078,20.47696078,NA
1968-05-04,NA,NA,NA,NA,NA,20.47598039,20.47598039,NA
1968-05-05,NA,NA,NA,NA,NA,20.475,20.475,NA
1968-05-06,9.1475,NA,NA,NA,NA,20.47401961,20.47401961,NA
1968-05-07,9.1625,NA,NA,NA,NA,20.47303922,20.47303922,NA
1968-05-08,9.1775,NA,NA,NA,NA,20.47205882,20.47205882,NA
1968-05-09,9.1925,NA,NA,NA,NA,20.47107843,20.47107843,NA
