"Index","Mean_gwlevel","Med_baseflow","Ceaseflow_days","Totalflow","CTFlow_days","CTFlow_events","CTFmid_days","CTFmid_events","CTFhigh_days","CTFhigh_events","RRGMS","RRGRR","BBMS","BBRR","LGMS","LGRR","WCMS","WCRR"
1965,NA,851.35,0,113359.45,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,175.49,0,211167.84,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,321.28,0,203866.02,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1968,9.26,546.59,0,616507.91,29,4,10,4,9,4,NA,NA,NA,NA,NA,NA,NA,NA
1969,9.44,668.8,0,612984.45,31,8,13,5,8,4,36.32,9.6,30,11.04,4.64,3.36,11.36,10.4
1970,9.54,491.99,0,327113.11,4,1,1,0,1,0,26.16,1.2,24.96,1.44,1.2,0.24,1.92,1.44
1971,8.08,1175.46,0,2609195.98,61,4,43,4,31,3,65.86,38.56,55.38,34.72,18.88,11.04,29.76,29.2
1972,8.53,342.35,0,290336.73,2,1,0,0,0,0,37.62,0,37.62,0,0,0,0,0
1973,9.1,562.37,0,348102.46,5,2,2,1,0,0,31.72,0.96,31,1.44,0.96,0,1.44,1.2
1974,7.97,441.17,0,1515799.63,23,2,13,1,11,1,51.14,11.36,44.9,10.56,7.04,1.44,12.64,10.24
1975,8.79,551.73,0,394044.17,9,4,2,1,1,1,34.94,0.32,33.34,0,1.28,2.56,0.64,0
1976,7.77,1016.93,0,1985279.3,61,3,42,3,32,3,74.22,39.6,61.58,28.8,20.24,8.56,31.2,36.88
1977,7.01,1567.84,0,2809445.27,115,5,72,5,50,6,104.26,61.76,91.86,23.52,35.28,66.32,27.68,41.2
1978,7.42,1254.63,0,1255699.18,92,9,42,5,24,3,72.26,44.32,57.78,33.12,14.32,38.8,23.68,24.32
1979,8.01,550.66,0,371886.2,6,1,0,0,0,0,41.18,1.28,40.22,1.92,0.64,0,1.92,1.92
1980,8.73,263.37,0,237250.76,0,0,0,0,0,0,33.02,0,33.02,0,0,0,0,0
1981,9.35,228.2,0,227064.14,7,2,1,1,0,0,29.92,0.48,29.44,0,0.96,1.92,0,0
1982,9.75,145.78,0,167552.37,2,1,0,0,0,0,23.68,0,23.68,0,0,0,0,0
1983,10.33,325.7,0,299956.89,11,3,5,1,3,1,19.18,3.6,17.02,4.32,3.6,0.72,4.32,4.32
1984,8.31,1310.02,0,2341822.37,97,7,53,6,38,5,77,52.4,58.12,38.72,27.92,35.68,32.8,31.28
1985,8.56,936.82,0,507290.96,17,4,9,3,5,1,42.82,6.08,38.5,6.72,2.88,0.8,7.36,6.4
1986,8.93,518.45,0,441101.37,9,2,3,1,2,1,33.38,1.92,31.94,0.48,1.44,5.76,0.48,0
1987,9.31,352.73,0,370726.27,10,2,5,2,2,1,33.08,2.4,29.24,1.76,3.2,3.84,4.96,1.6
1988,9.53,591.78,0,485867.94,16,7,3,1,1,1,27.94,2.88,24.58,3.36,2.16,2.56,3.76,2.8
1989,9.01,956.37,0,1166243.4,49,5,27,4,20,4,44.22,18.16,36.78,10.56,7.92,35.76,3.6,4.56
1990,8.48,1557.68,0,1583741.93,97,4,46,5,30,6,75.64,45.92,64.44,8.88,30.96,73.68,8.08,23.12
1991,8.08,637.71,0,854554.73,34,6,19,4,16,4,52.48,9.6,44.48,7.04,7.36,15.52,9.44,6.4
1992,8.54,313.64,0,574782.93,9,1,8,1,7,1,40.1,3.6,37.94,2.88,1.44,0.72,4.32,4.32
1993,9.5,257.58,0,330155.06,13,3,3,2,1,1,28.42,2.72,25.38,1.92,2.96,6.4,2.8,1.2
1994,10.41,97.43,0,114321.09,0,0,0,0,0,0,17.18,0,17.18,0,0,0,0,0
1995,11.41,10.43,0,70709.17,3,1,1,1,0,0,7.62,0.72,6.42,0.96,0.96,0,1.92,1.2
1996,10.94,225.19,0,487920.78,31,6,16,5,12,4,20.78,10.24,12.3,12,7.12,1.28,15.36,13.28
1997,10.08,335.14,0,816517.86,23,2,15,3,12,3,26.52,9.6,22.84,7.36,3.28,1.44,10.64,11.04
1998,8.85,1352.98,0,3152797.23,130,3,72,5,54,4,91.64,50.96,113.48,7.84,65.36,92.72,23.76,41.12
1999,8.77,391.7,0,377721.16,10,3,3,1,1,1,36.28,1.84,32.92,2.4,2.72,1.92,3.68,2.88
2000,8.7,487.88,0,1263708.43,24,2,18,2,13,1,45.98,16.08,37.1,14.88,8.64,3.36,14.64,11.28
2001,8.19,302.78,0,354169.9,6,1,1,1,1,1,41.78,1.92,40.82,1.92,0.96,0,2.88,2.88
2002,9.14,584.89,0,364275.63,0,0,0,0,0,0,29.98,0,29.98,0,0,0,0,0
2003,10.55,44.22,0,162653.8,0,0,0,0,0,0,15.08,0,15.08,0,0,0,0,0
2004,11.27,65.39,0,443390.1,18,5,15,4,10,4,13.44,5.2,8.88,6.88,4.48,0,8.24,7.68
2005,10.79,187.25,0,258820.55,6,2,3,1,3,1,14.5,0.32,12.9,0,1.28,2.56,0.64,0
2006,11.44,64.98,0,178193.3,0,0,0,0,0,0,5.1,0,5.1,0,0,0,0,0
2007,12.38,8.99,0,91098.52,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,12.88,54.46,0,286973.81,12,3,8,3,7,2,4.32,3.6,0.24,5.28,3.28,0,6,5.2
2009,12.93,53.88,2,97054.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,13.13,155.01,0,1298626.47,66,4,47,7,34,5,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,967.96,0,114202.5,4,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
