group,start,end,duration,dry_period,timing,flood_timing,flood_duration,flood_dry_period,sw_suitability_index
1.0,1900-05-20,1900-06-09,21.0,1,5,0.1,0.75,1.0,0.605
3.0,1900-06-24,1900-10-19,118.0,15,6,0.1,0.449275362319,1.0,0.454637681159
5.0,1901-06-20,1901-07-01,12.0,244,6,0.1,0.428571428571,1.0,0.444285714286
7.0,1901-07-31,1901-08-09,10.0,30,7,0.5,0.357142857143,1.0,0.528571428571
9.0,1901-08-28,1901-09-17,21.0,19,8,0.5,0.75,1.0,0.725
11.0,1901-09-21,1901-10-11,21.0,4,9,1.0,0.75,1.0,0.875
13.0,1901-10-18,1901-11-06,20.0,7,10,1.0,0.714285714286,1.0,0.857142857143
18.0,1902-12-23,1902-12-27,5.0,178,12,1.0,0.178571428571,1.0,0.589285714286
22.0,1903-06-09,1903-06-15,7.0,40,6,0.1,0.25,1.0,0.355
24.0,1903-06-18,1903-07-01,14.0,3,6,0.1,0.5,1.0,0.48
26.0,1903-07-06,1903-09-01,58.0,5,7,0.5,0.884057971014,1.0,0.792028985507
28.0,1903-09-04,1903-11-07,65.0,3,9,1.0,0.833333333333,1.0,0.916666666667
30.0,1903-11-30,1903-12-10,11.0,23,11,1.0,0.392857142857,1.0,0.696428571429
32.0,1903-12-28,1904-01-12,15.0,18,12,1.0,0.535714285714,1.0,0.767857142857
34.0,1904-01-15,1904-02-29,46.0,3,1,0.9,0.971014492754,1.0,0.955507246377
36.0,1904-03-13,1904-04-05,24.0,13,3,0.1,0.857142857143,1.0,0.658571428571
38.0,1904-06-23,1904-09-28,98.0,79,6,0.1,0.594202898551,1.0,0.527101449275
40.0,1904-10-06,1904-11-03,28.0,8,10,1.0,1.0,1.0,1.0
42.0,1904-11-06,1904-11-12,7.0,3,11,1.0,0.25,1.0,0.625
46.0,1905-04-12,1905-04-14,3.0,34,4,0.1,0.107142857143,1.0,0.283571428571
48.0,1905-06-17,1905-06-22,6.0,64,6,0.1,0.214285714286,1.0,0.337142857143
51.0,1905-07-01,1905-11-23,146.0,3,7,0.5,0.246376811594,1.0,0.473188405797
53.0,1906-03-03,1906-03-11,9.0,100,3,0.1,0.321428571429,1.0,0.390714285714
55.0,1906-05-25,1906-11-13,171.0,75,5,0.1,0.0652173913043,1.0,0.262608695652
57.0,1906-11-21,1906-12-12,22.0,8,11,1.0,0.785714285714,1.0,0.892857142857
59.0,1906-12-20,1906-12-25,6.0,8,12,1.0,0.214285714286,1.0,0.607142857143
61.0,1907-04-12,1907-04-16,5.0,108,4,0.1,0.178571428571,1.0,0.319285714286
63.0,1907-04-27,1907-04-29,3.0,11,4,0.1,0.107142857143,1.0,0.283571428571
65.0,1907-06-09,1907-06-12,4.0,41,6,0.1,0.142857142857,1.0,0.301428571429
69.0,1907-07-27,1907-09-23,59.0,6,7,0.5,0.876811594203,1.0,0.788405797101
71.0,1907-12-28,1908-01-08,12.0,96,12,1.0,0.428571428571,1.0,0.714285714286
73.0,1908-06-21,1908-06-29,9.0,165,6,0.1,0.321428571429,1.0,0.390714285714
77.0,1965-05-09,1965-05-20,12.0,4,5,0.1,0.428571428571,1.0,0.444285714286
82.0,1965-08-17,1965-10-02,47.0,7,8,0.5,0.963768115942,1.0,0.831884057971
90.0,1965-11-24,1965-11-27,4.0,11,11,1.0,0.142857142857,1.0,0.571428571429
92.0,1965-11-30,1965-12-07,8.0,3,11,1.0,0.285714285714,1.0,0.642857142857
95.0,1965-12-24,1966-02-10,49.0,14,12,1.0,0.949275362319,1.0,0.974637681159
97.0,1966-02-16,1966-02-18,3.0,6,2,0.9,0.107142857143,1.0,0.523571428571
99.0,1966-03-15,1966-03-24,10.0,25,3,0.1,0.357142857143,1.0,0.408571428571
103.0,1966-04-22,1966-04-26,5.0,12,4,0.1,0.178571428571,1.0,0.319285714286
107.0,1966-05-05,1966-05-07,3.0,5,5,0.1,0.107142857143,1.0,0.283571428571
109.0,1966-05-17,1966-05-20,4.0,10,5,0.1,0.142857142857,1.0,0.301428571429
111.0,1966-08-16,1966-08-26,10.0,88,8,0.5,0.357142857143,1.0,0.528571428571
114.0,1966-09-15,1966-09-25,10.0,9,9,1.0,0.357142857143,1.0,0.678571428571
116.0,1966-09-30,1966-10-09,10.0,5,9,1.0,0.357142857143,1.0,0.678571428571
119.0,1966-10-30,1966-11-03,5.0,10,10,1.0,0.178571428571,1.0,0.589285714286
125.0,1966-11-28,1966-12-09,12.0,14,11,1.0,0.428571428571,1.0,0.714285714286
127.0,1966-12-13,1966-12-16,3.0,4,12,1.0,0.107142857143,1.0,0.553571428571
130.0,1967-01-16,1967-01-18,3.0,22,1,0.9,0.107142857143,1.0,0.523571428571
138.0,1967-06-12,1967-06-14,3.0,19,6,0.1,0.107142857143,1.0,0.283571428571
140.0,1967-08-21,1967-08-24,4.0,68,8,0.5,0.142857142857,1.0,0.421428571429
142.0,1967-08-28,1967-08-30,3.0,4,8,0.5,0.107142857143,1.0,0.403571428571
145.0,1968-03-23,1968-03-25,3.0,62,3,0.1,0.107142857143,1.0,0.283571428571
147.0,1968-04-20,1968-04-22,3.0,26,4,0.1,0.107142857143,1.0,0.283571428571
149.0,1968-04-29,1968-05-02,4.0,7,4,0.1,0.142857142857,1.0,0.301428571429
151.0,1968-05-05,1968-05-07,3.0,3,5,0.1,0.107142857143,1.0,0.283571428571
153.0,1968-05-11,1968-05-15,5.0,4,5,0.1,0.178571428571,1.0,0.319285714286
155.0,1968-06-04,1968-06-15,12.0,20,6,0.1,0.428571428571,1.0,0.444285714286
157.0,1968-06-18,1968-06-27,9.0,3,6,0.1,0.321428571429,1.0,0.390714285714
159.0,1968-07-06,1968-07-14,9.0,9,7,0.5,0.321428571429,1.0,0.510714285714
161.0,1968-07-27,1968-11-04,100.0,13,7,0.5,0.579710144928,1.0,0.639855072464
164.0,1968-12-16,1968-12-20,5.0,6,12,1.0,0.178571428571,1.0,0.589285714286
171.0,1969-03-12,1969-03-28,15.0,17,3,0.1,0.535714285714,1.0,0.497857142857
175.0,1969-04-16,1969-04-20,5.0,14,4,0.1,0.178571428571,1.0,0.319285714286
177.0,1969-05-11,1969-05-14,4.0,21,5,0.1,0.142857142857,1.0,0.301428571429
179.0,1969-07-13,1969-07-18,6.0,60,7,0.5,0.214285714286,1.0,0.457142857143
181.0,1969-07-25,1969-07-28,4.0,7,7,0.5,0.142857142857,1.0,0.421428571429
183.0,1969-08-27,1969-09-02,7.0,30,8,0.5,0.25,1.0,0.475
185.0,1969-09-05,1969-09-10,6.0,3,9,1.0,0.214285714286,1.0,0.607142857143
187.0,1969-09-24,1969-09-26,3.0,14,9,1.0,0.107142857143,1.0,0.553571428571
190.0,1969-10-20,1969-10-22,3.0,18,10,1.0,0.107142857143,1.0,0.553571428571
192.0,1969-10-27,1969-10-31,5.0,5,10,1.0,0.178571428571,1.0,0.589285714286
194.0,1970-01-02,1970-01-07,6.0,63,1,0.9,0.214285714286,1.0,0.577142857143
199.0,1970-02-16,1970-02-18,3.0,27,2,0.9,0.107142857143,1.0,0.523571428571
